observation_date,MORTGAGE30US
2019-09-01,3.61
2019-10-01,3.69
2019-11-01,3.70
2019-12-01,3.72
2020-01-01,3.62
2020-02-01,3.47
2020-03-01,3.45
2020-04-01,3.31
2020-05-01,3.23
2020-06-01,3.16
2020-07-01,3.02
2020-08-01,2.94
2020-09-01,2.89
2020-10-01,2.83
2020-11-01,2.77
2020-12-01,2.68
2021-01-01,2.74
2021-02-01,2.81
2021-03-01,3.08
2021-04-01,3.06
2021-05-01,2.96
2021-06-01,2.98
2021-07-01,2.87
2021-08-01,2.84
2021-09-01,2.90
2021-10-01,3.07
2021-11-01,3.07
2021-12-01,3.10
2022-01-01,3.45
2022-02-01,3.76
2022-03-01,4.17
2022-04-01,4.98
2022-05-01,5.23
2022-06-01,5.52
2022-07-01,5.41
2022-08-01,5.22
2022-09-01,6.11
2022-10-01,6.90
2022-11-01,6.81
2022-12-01,6.36
2023-01-01,6.27
2023-02-01,6.26
2023-03-01,6.54
2023-04-01,6.34
2023-05-01,6.43
2023-06-01,6.71
2023-07-01,6.84
2023-08-01,7.07
2023-09-01,7.20
2023-10-01,7.62
2023-11-01,7.44
2023-12-01,6.82
2024-01-01,6.64
2024-02-01,6.78
2024-03-01,6.82
2024-04-01,6.99
2024-05-01,7.06
2024-06-01,6.92
2024-07-01,6.85
2024-08-01,6.50
2024-09-01,6.18
2024-10-01,6.43
2024-11-01,6.81
2024-12-01,6.72
2025-01-01,6.96
2025-02-01,6.84
2025-03-01,6.65
2025-04-01,6.73
2025-05-01,
